INDEX HOPPING_ID_2 HOPPING_ID_1 R_2 R_1 MEAN_R MEAN_I STD
342 2 2 5 5 0.12913972 -0.00000000 0.09581041
343 2 2 5 6 -0.03856763 -0.00000000 0.03350983
344 2 2 5 7 0.03915520 0.00000000 0.03992926
345 2 2 5 8 0.09047075 -0.00000000 0.08065976
346 2 2 5 9 -0.01945082 0.00000000 0.03324361
347 2 2 5 10 -0.01713751 -0.00000000 0.02114191
348 2 2 5 11 0.02921807 0.00000000 0.02888342
349 2 2 5 12 0.02042550 -0.00000000 0.03399680
350 2 2 5 13 -0.00376117 -0.00000000 0.00443999
351 2 2 5 14 0.11537714 0.00000000 0.11482375
352 2 2 5 15 0.03360341 0.00000000 0.03361134
353 2 2 6 0 0.02056315 -0.00000000 0.02230971
354 2 2 6 1 0.58308563 -0.00000000 0.55019539
355 2 2 6 2 -0.13959564 -0.00000000 0.09691435
356 2 2 6 3 0.09413095 0.00000000 0.07176566
357 2 2 6 4 0.18294551 -0.00000000 0.18107351
358 2 2 6 5 -0.03856763 -0.00000000 0.03350983
359 2 2 6 6 5.41460927 0.00000000 3.67300558
360 2 2 6 7 0.15811103 -0.00000000 0.14944430
361 2 2 6 8 0.19362431 -0.00000000 0.19211946
362 2 2 6 9 0.32859334 -0.00000000 0.32940087
363 2 2 6 10 -0.13036476 0.00000000 0.08178467
364 2 2 6 11 -0.07377355 -0.00000000 0.09728613
365 2 2 6 12 -0.05233781 -0.00000000 0.03756847
366 2 2 6 13 -0.16873949 -0.00000000 0.19811639
367 2 2 6 14 0.37661750 -0.00000000 0.37164196
368 2 2 6 15 0.20054146 -0.00000000 0.16763490
369 2 2 7 0 0.05367389 -0.00000000 0.04547180
370 2 2 7 1 0.39479765 0.00000000 0.38104261
371 2 2 7 2 0.06337786 0.00000000 0.06030147
372 2 2 7 3 0.10890240 0.00000000 0.06420525
373 2 2 7 4 0.05386377 0.00000000 0.04464763
374 2 2 7 5 0.03915520 0.00000000 0.03992926
375 2 2 7 6 0.15811103 -0.00000000 0.14944430
376 2 2 7 7 1.24072730 -0.00000000 0.90036668
377 2 2 7 8 0.00668255 -0.00000000 0.00621836
378 2 2 7 9 0.22694936 0.00000000 0.22790360
379 2 2 7 10 -0.07017718 -0.00000000 0.08610579
380 2 2 7 11 0.12139344 0.00000000 0.09100584
381 2 2 7 12 -0.00387389 -0.00000000 0.00417862
382 2 2 7 13 -0.23736063 -0.00000000 0.25685734
383 2 2 7 14 0.09705778 0.00000000 0.06857048
384 2 2 7 15 0.30478154 0.00000000 0.21172766
385 2 2 8 0 0.02763013 -0.00000000 0.07488727
386 2 2 8 1 -0.01802049 -0.00000000 0.02036015
387 2 2 8 2 0.05449266 -0.00000000 0.03958778
388 2 2 8 3 0.00716546 -0.00000000 0.00637574
389 2 2 8 4 -0.26722566 -0.00000000 0.33345526
390 2 2 8 5 0.09047075 -0.00000000 0.08065976
391 2 2 8 6 0.19362431 -0.00000000 0.19211946
