INDEX HOPPING_ID_2 HOPPING_ID_1 K_2 K_1 MEAN_R MEAN_I STD
70 1 1 4 5 -2.31334912 -1.71075760 3.17471386
71 1 1 4 6 -0.12693430 -1.01540767 4.48640515
72 1 1 4 7 -3.78712289 0.31162875 4.49171657
73 1 1 4 8 -0.92006662 -3.65920183 4.38598220
74 1 1 4 9 -2.12381463 -9.79838764 5.82233744
75 1 1 4 10 9.08443477 7.59754281 8.71991608
76 1 1 4 11 -4.40886089 -2.75398060 7.49808221
77 1 1 4 12 39.58615392 -0.30883737 11.66758309
78 1 1 4 13 -6.76023468 6.17106461 11.12733898
79 1 1 4 14 8.48122889 -9.26566438 9.75846656
80 1 1 4 15 -2.32551812 9.84134114 5.58767784
81 1 1 5 0 -2.01905190 0.97355980 3.18493928
82 1 1 5 1 3.24527629 2.16482528 6.79406599
83 1 1 5 2 -2.21218889 5.32919476 5.62059826
84 1 1 5 3 -2.88851532 0.69055558 3.46399398
85 1 1 5 4 -2.52362419 -1.69662366 3.26296021
86 1 1 5 5 -3.96848382 -6.54445225 5.89716148
87 1 1 5 6 2.66370397 0.03940623 5.41959219
88 1 1 5 7 0.14400129 -1.35461285 5.93322502
89 1 1 5 8 -0.58525162 -7.20007385 3.77695429
90 1 1 5 9 -0.61622849 6.31157750 7.23716092
91 1 1 5 10 -5.49294971 -8.53122761 11.89309004
92 1 1 5 11 40.55896549 -0.18225436 12.74404426
93 1 1 5 12 -4.24663621 2.92722295 7.38906502
94 1 1 5 13 5.74597776 -1.13613149 3.60425226
95 1 1 5 14 -5.14576818 8.97750917 6.43276138
96 1 1 5 15 -1.64124376 -0.74597872 7.46294877
97 1 1 6 0 -0.80860167 -1.39161923 5.39802965
98 1 1 6 1 -4.67305427 6.69679154 7.89738371
99 1 1 6 2 -7.41687542 -0.79881397 6.94381915
100 1 1 6 3 -1.74100247 -5.33128942 4.71325664
101 1 1 6 4 -0.07277943 -1.05725924 4.54356827
102 1 1 6 5 2.89729092 0.28111212 5.52711162
103 1 1 6 6 -0.58798093 -4.05147461 3.28177383
104 1 1 6 7 -5.25721220 -1.21955815 7.20138351
105 1 1 6 8 4.84344514 3.19637087 3.37231600
106 1 1 6 9 -3.15466836 -9.69872450 11.65099222
107 1 1 6 10 42.93051715 0.05096477 14.84428928
108 1 1 6 11 -5.38752429 9.01596452 11.94632102
109 1 1 6 12 9.38662378 -7.38348218 8.81212413
110 1 1 6 13 -6.17012678 11.87129518 8.89922602
111 1 1 6 14 -1.67102077 -5.06306396 11.90464074
112 1 1 6 15 2.07645720 3.67827170 4.37729369
113 1 1 7 0 -4.25177242 9.89629832 9.64774680
114 1 1 7 1 -4.37718104 -6.32989132 7.96392673
115 1 1 7 2 -0.21231866 -4.80004428 4.67420749
116 1 1 7 3 1.89328862 -3.88293762 6.90551247
117 1 1 7 4 -3.29672517 0.85548197 4.58908101
118 1 1 7 5 0.46780952 -1.26490675 6.00469004
119 1 1 7 6 -5.11984959 -1.10333088 7.19173071
120 1 1 7 7 0.69392289 -9.08393343 11.61847376
121 1 1 7 8 1.70317851 1.00933470 3.29876049
122 1 1 7 9 41.10452047 0.13065610 12.24953890
123 1 1 7 10 -3.11456007 10.34188388 11.87874561
124 1 1 7 11 -0.57560691 -6.22671815 7.37200394
125 1 1 7 12 -2.06035606 9.93461050 5.70181756
126 1 1 7 13 0.73746812 -2.90002219 9.92358357
127 1 1 7 14 5.53540057 3.20757259 7.52699411
128 1 1 7 15 0.85832227 -0.32155461 5.19665014
129 1 1 8 0 -3.18116127 -0.00000000 3.97192068
130 1 1 8 1 1.19571442 -0.28606471 3.14929872
131 1 1 8 2 -5.92982383 0.71109674 3.88407162
132 1 1 8 3 -0.00107986 -4.08627541 3.93556105
133 1 1 8 4 -0.59109281 -3.76279233 4.39192618
134 1 1 8 5 -0.33854291 -7.04388822 3.65285072
135 1 1 8 6 4.76224283 3.19318658 3.37344582
136 1 1 8 7 1.70973046 0.70421186 3.27308135
137 1 1 8 8 29.34389408 0.00000000 3.83834919
138 1 1 8 9 1.70973046 -0.70421186 3.27308135
139 1 1 8 10 4.76224283 -3.19318658 3.37344582
140 1 1 8 11 -0.33854291 7.04388822 3.65285072
141 1 1 8 12 -0.59109281 3.76279233 4.39192618
142 1 1 8 13 -0.00107986 4.08627541 3.93556105
143 1 1 8 14 -5.92982383 -0.71109674 3.88407162
144 1 1 8 15 1.19571442 0.28606471 3.14929872
145 1 1 9 0 -4.25177242 -9.89629832 9.64774680
146 1 1 9 1 0.85832227 0.32155461 5.19665014
147 1 1 9 2 5.53540057 -3.20757259 7.52699411
148 1 1 9 3 0.73746812 2.90002219 9.92358357
149 1 1 9 4 -2.06035606 -9.93461050 5.70181756
150 1 1 9 5 -0.57560691 6.22671815 7.37200394
151 1 1 9 6 -3.11456007 -10.34188388 11.87874561
152 1 1 9 7 41.10452047 -0.13065610 12.24953890
153 1 1 9 8 1.70317851 -1.00933470 3.29876049
154 1 1 9 9 0.69392289 9.08393343 11.61847376
155 1 1 9 10 -5.11984959 1.10333088 7.19173071
156 1 1 9 11 0.46780952 1.26490675 6.00469004
157 1 1 9 12 -3.29672517 -0.85548197 4.58908101
158 1 1 9 13 1.89328862 3.88293762 6.90551247
159 1 1 9 14 -0.21231866 4.80004428 4.67420749
160 1 1 9 15 -4.37718104 6.32989132 7.96392673
161 1 1 10 0 -0.80860167 1.39161923 5.39802965
162 1 1 10 1 2.07645720 -3.67827170 4.37729369
163 1 1 10 2 -1.67102077 5.06306396 11.90464074
164 1 1 10 3 -6.17012678 -11.87129518 8.89922602
165 1 1 10 4 9.38662378 7.38348218 8.81212413
166 1 1 10 5 -5.38752429 -9.01596452 11.94632102
167 1 1 10 6 42.93051715 -0.05096477 14.84428928
168 1 1 10 7 -3.15466836 9.69872450 11.65099222
169 1 1 10 8 4.84344514 -3.19637087 3.37231600
170 1 1 10 9 -5.25721220 1.21955815 7.20138351
171 1 1 10 10 -0.58798093 4.05147461 3.28177383
172 1 1 10 11 2.89729092 -0.28111212 5.52711162
173 1 1 10 12 -0.07277943 1.05725924 4.54356827
174 1 1 10 13 -1.74100247 5.33128942 4.71325664
175 1 1 10 14 -7.41687542 0.79881397 6.94381915
176 1 1 10 15 -4.67305427 -6.69679154 7.89738371
177 1 1 11 0 -2.01905190 -0.97355980 3.18493928
178 1 1 11 1 -1.64124376 0.74597872 7.46294877
179 1 1 11 2 -5.14576818 -8.97750917 6.43276138
180 1 1 11 3 5.74597776 1.13613149 3.60425226
181 1 1 11 4 -4.24663621 -2.92722295 7.38906502
182 1 1 11 5 40.55896549 0.18225436 12.74404426
183 1 1 11 6 -5.49294971 8.53122761 11.89309004
184 1 1 11 7 -0.61622849 -6.31157750 7.23716092
185 1 1 11 8 -0.58525162 7.20007385 3.77695429
186 1 1 11 9 0.14400129 1.35461285 5.93322502
187 1 1 11 10 2.66370397 -0.03940623 5.41959219
188 1 1 11 11 -3.96848382 6.54445225 5.89716148
