INDEX BOND_ID_2 BOND_ID_1 R_2 R_1 MEAN_R MEAN_I STD
176 1 1 10 15 4.04138828 -0.02406532 0.08987391
177 1 1 11 0 4.02403745 0.09642387 0.05366209
178 1 1 11 1 3.81178335 0.19823860 0.27250041
179 1 1 11 2 3.96996862 0.19796500 0.10893465
180 1 1 11 3 3.99578299 0.14636894 0.10452826
181 1 1 11 4 4.00664637 0.05303270 0.06162766
182 1 1 11 5 4.07686841 0.15760521 0.10265177
183 1 1 11 6 3.99566112 0.09217922 0.03372693
184 1 1 11 7 4.08853475 0.05271841 0.08869145
185 1 1 11 8 4.02827123 0.03074531 0.07393008
186 1 1 11 9 3.85027886 0.17526244 0.20598659
187 1 1 11 10 4.08677995 0.04633676 0.13117411
188 1 1 11 11 4.01096363 0.23402907 0.14233245
189 1 1 11 12 4.03383110 0.00818095 0.04974565
190 1 1 11 13 4.17535174 0.01128710 0.20173696
191 1 1 11 14 4.02848501 0.16376182 0.12386073
192 1 1 11 15 3.93340325 0.16362699 0.11520975
193 1 1 12 0 3.92668275 -0.12942425 0.09549777
194 1 1 12 1 4.05770006 -0.02760952 0.13246360
195 1 1 12 2 4.00419801 -0.02788311 0.04334289
196 1 1 12 3 4.01412650 -0.07947917 0.04425944
197 1 1 12 4 3.95375500 -0.17281541 0.08889280
198 1 1 12 5 3.94821193 -0.06824290 0.11025919
199 1 1 12 6 4.03684334 -0.13366889 0.11251557
200 1 1 12 7 4.00522129 -0.17312971 0.11231562
201 1 1 12 8 3.78466513 -0.19510280 0.15441454
202 1 1 12 9 4.05430372 -0.05058567 0.07349617
203 1 1 12 10 3.93684466 -0.17951135 0.14052889
204 1 1 12 11 4.03383110 0.00818095 0.04974565
205 1 1 12 12 4.26761747 -0.21766716 0.15868900
206 1 1 12 13 3.99123383 -0.21456101 0.19260952
207 1 1 12 14 4.02237129 -0.06208629 0.05399109
208 1 1 12 15 4.01785822 -0.06222113 0.06615691
209 1 1 13 0 4.07128054 -0.12631809 0.16912784
210 1 1 13 1 4.36470746 -0.02450336 0.39485943
211 1 1 13 2 4.04964643 -0.02477696 0.11599958
212 1 1 13 3 4.03672692 -0.07637302 0.12200278
213 1 1 13 4 3.99956953 -0.16970926 0.16612128
214 1 1 13 5 3.94937481 -0.06513675 0.15132305
215 1 1 13 6 4.06392476 -0.13056274 0.18329688
216 1 1 13 7 3.88549528 -0.17002355 0.22108764
217 1 1 13 8 3.91093073 -0.19199665 0.23307291
218 1 1 13 9 4.04603697 -0.04747952 0.08565629
219 1 1 13 10 3.75258202 -0.17640520 0.32344641
220 1 1 13 11 4.17535174 0.01128710 0.20173696
221 1 1 13 12 3.99123383 -0.21456101 0.19260952
222 1 1 13 13 3.70002283 -0.21145486 0.41404422
223 1 1 13 14 4.02431817 -0.05898014 0.10154990
224 1 1 13 15 3.95274442 -0.05911497 0.15579308
225 1 1 14 0 3.97814313 0.02615662 0.05707503
226 1 1 14 1 4.01731260 0.12797135 0.19817374
227 1 1 14 2 3.85579670 0.12769776 0.16031096
228 1 1 14 3 3.99041249 0.07610170 0.09968289
229 1 1 14 4 4.00520682 -0.01723454 0.05950152
230 1 1 14 5 3.94035846 0.08733797 0.09310836
231 1 1 14 6 3.99314793 0.02191198 0.03216468
232 1 1 14 7 4.00124678 -0.01754884 0.03877975
233 1 1 14 8 4.01364716 -0.03952193 0.03841179
234 1 1 14 9 4.02155348 0.10499520 0.14270892
235 1 1 14 10 3.93481193 -0.02393048 0.04992969
236 1 1 14 11 4.02848501 0.16376182 0.12386073
237 1 1 14 12 4.02237129 -0.06208629 0.05399109
238 1 1 14 13 4.02431817 -0.05898014 0.10154990
239 1 1 14 14 4.11162495 0.09349458 0.13446885
240 1 1 14 15 4.02580498 0.09335974 0.07623630
241 1 1 15 0 4.00391625 0.02602179 0.04858990
242 1 1 15 1 4.00716557 0.12783652 0.15178268
243 1 1 15 2 4.07338370 0.12756292 0.10179342
244 1 1 15 3 3.97384388 0.07596686 0.08677781
245 1 1 15 4 3.97947715 -0.01736938 0.07006864
246 1 1 15 5 4.09922830 0.08720313 0.11642383
247 1 1 15 6 3.98189438 0.02177714 0.08016913
248 1 1 15 7 4.02573182 -0.01768367 0.07690191
249 1 1 15 8 4.01142058 -0.03965677 0.09105404
250 1 1 15 9 3.97736475 0.10486037 0.10476036
251 1 1 15 10 4.04138828 -0.02406532 0.08987391
252 1 1 15 11 3.93340325 0.16362699 0.11520975
253 1 1 15 12 4.01785822 -0.06222113 0.06615691
254 1 1 15 13 3.95274442 -0.05911497 0.15579308
255 1 1 15 14 4.02580498 0.09335974 0.07623630
256 1 1 15 15 3.93608855 0.09322491 0.11108124
257 2 2 0 0 1.63577198 0.00000000 0.39915628
258 2 2 0 1 0.07474219 -0.00000000 0.05559357
259 2 2 0 2 0.24224472 0.00000000 0.12779669
260 2 2 0 3 0.13744431 -0.00000000 0.08335320
261 2 2 0 4 0.02690387 -0.00000000 0.02623686
262 2 2 0 5 0.10706887 0.00000000 0.10855240
263 2 2 0 6 0.16736202 -0.00000000 0.16440771
264 2 2 0 7 0.05200755 0.00000000 0.02634343
265 2 2 0 8 0.24127843 -0.00000000 0.32425722
266 2 2 0 9 0.06573341 0.00000000 0.24611876
267 2 2 0 10 -0.50321414 0.00000000 0.37448084
268 2 2 0 11 0.12491501 -0.00000000 0.15839901
269 2 2 0 12 -0.09380619 0.00000000 0.05145927
270 2 2 0 13 -0.17452649 0.00000000 0.16776969
271 2 2 0 14 -0.15109896 0.00000000 0.13174175
272 2 2 0 15 -0.08875102 0.00000000 0.23053960
273 2 2 1 0 0.14491085 -0.00000000 0.09126260
274 2 2 1 1 1.61893625 0.00000000 0.55969633
275 2 2 1 2 0.04275745 -0.00000000 0.13869339
276 2 2 1 3 0.06383421 -0.00000000 0.03510699
277 2 2 1 4 0.16753084 -0.00000000 0.14029184
278 2 2 1 5 -0.16982689 -0.00000000 0.25648241
279 2 2 1 6 -0.12981555 0.00000000 0.16546841
280 2 2 1 7 0.10140862 0.00000000 0.05861594
281 2 2 1 8 0.28595458 0.00000000 0.37625493
282 2 2 1 9 0.21379235 0.00000000 0.36025837
283 2 2 1 10 0.24199324 0.00000000 0.35861368
284 2 2 1 11 -0.11913429 0.00000000 0.05374247
285 2 2 1 12 -0.00486206 -0.00000000 0.00639766
286 2 2 1 13 -0.14184178 -0.00000000 0.13952631
287 2 2 1 14 0.10167600 0.00000000 0.18593699
288 2 2 1 15 -0.06770968 0.00000000 0.14376132
289 2 2 2 0 0.24224472 0.00000000 0.12779669
290 2 2 2 1 0.13765818 -0.00000000 0.10921420
291 2 2 2 2 2.17045649 -0.00000000 0.27576679
292 2 2 2 3 0.20853921 -0.00000000 0.07071539
293 2 2 2 4 0.02455970 -0.00000000 0.01694843
294 2 2 2 5 0.05153621 0.00000000 0.06896019
295 2 2 2 6 0.27149683 -0.00000000 0.21024208
296 2 2 2 7 0.08501995 0.00000000 0.04845951
297 2 2 2 8 0.16137563 -0.00000000 0.29646729
298 2 2 2 9 -0.11003740 0.00000000 0.13083873
299 2 2 2 10 -0.55989325 0.00000000 0.39579543
300 2 2 2 11 0.00486259 -0.00000000 0.15033556
301 2 2 2 12 -0.07129699 0.00000000 0.06060415
302 2 2 2 13 -0.16209677 0.00000000 0.15070664
303 2 2 2 14 -0.30125343 -0.00000000 0.19795960
304 2 2 2 15 -0.16330348 0.00000000 0.07718211
305 2 2 3 0 0.23234505 0.00000000 0.10928289
306 2 2 3 1 0.06383421 -0.00000000 0.03510699
307 2 2 3 2 0.13837055 -0.00000000 0.06716175
308 2 2 3 3 2.27256555 0.00000000 0.38397220
309 2 2 3 4 0.11909760 -0.00000000 0.04774735
310 2 2 3 5 0.03779206 0.00000000 0.03638520
311 2 2 3 6 0.15336958 -0.00000000 0.12279190
312 2 2 3 7 0.07484706 -0.00000000 0.02954958
313 2 2 3 8 -0.01461335 0.00000000 0.14642763
314 2 2 3 9 0.02233418 0.00000000 0.32893038
315 2 2 3 10 -0.20809682 0.00000000 0.05590196
316 2 2 3 11 -0.14256933 -0.00000000 0.03373968
317 2 2 3 12 0.00105223 -0.00000000 0.01877327
318 2 2 3 13 -0.28340888 -0.00000000 0.28647584
319 2 2 3 14 -0.08178793 -0.00000000 0.02551079
320 2 2 3 15 -0.10738651 -0.00000000 0.04793621
321 2 2 4 0 0.02690387 -0.00000000 0.02623686
322 2 2 4 1 0.16753084 -0.00000000 0.14029184
323 2 2 4 2 0.02455970 -0.00000000 0.01694843
324 2 2 4 3 0.11909760 -0.00000000 0.04774735
325 2 2 4 4 2.18552418 0.00000000 0.18004645
326 2 2 4 5 -0.07206368 -0.00000000 0.06450985
327 2 2 4 6 0.04439622 0.00000000 0.03125198
328 2 2 4 7 0.04986997 0.00000000 0.06903357
329 2 2 4 8 0.18265952 0.00000000 0.23876535
330 2 2 4 9 -0.24062286 -0.00000000 0.18707814
331 2 2 4 10 0.05189685 0.00000000 0.09076261
332 2 2 4 11 0.14838244 0.00000000 0.19020221
333 2 2 4 12 0.04047449 -0.00000000 0.04885616
334 2 2 4 13 0.13816810 0.00000000 0.13886020
335 2 2 4 14 0.02409068 -0.00000000 0.03354225
336 2 2 4 15 0.05400160 0.00000000 0.05936152
337 2 2 5 0 0.10706887 0.00000000 0.10855240
338 2 2 5 1 -0.16982689 -0.00000000 0.25648241
339 2 2 5 2 0.05153621 0.00000000 0.06896019
340 2 2 5 3 0.03779206 0.00000000 0.03638520
341 2 2 5 4 -0.19570999 -0.00000000 0.10206735
342 2 2 5 5 0.84307242 0.00000000 0.34457355
343 2 2 5 6 0.02669354 -0.00000000 0.07648021
344 2 2 5 7 0.01842653 -0.00000000 0.01262923
345 2 2 5 8 -0.09560183 -0.00000000 0.08409563
346 2 2 5 9 0.22034006 0.00000000 0.24163661
347 2 2 5 10 -0.17513370 -0.00000000 0.16372192
348 2 2 5 11 -0.14942216 -0.00000000 0.13336938
349 2 2 5 12 -0.07373672 -0.00000000 0.06848224
350 2 2 5 13 -0.42323390 -0.00000000 0.42219962
351 2 2 5 14 -0.28876938 -0.00000000 0.28335940
352 2 2 5 15 -0.05016554 -0.00000000 0.03281843
353 2 2 6 0 0.16736202 -0.00000000 0.16440771
354 2 2 6 1 -0.12981555 0.00000000 0.16546841
355 2 2 6 2 0.27149683 -0.00000000 0.21024208
356 2 2 6 3 0.15336958 -0.00000000 0.12279190
357 2 2 6 4 0.04439622 0.00000000 0.03125198
358 2 2 6 5 0.04789622 -0.00000000 0.05925137
359 2 2 6 6 1.21247463 -0.00000000 0.37521634
360 2 2 6 7 -0.04495185 -0.00000000 0.07371153
361 2 2 6 8 0.33061515 -0.00000000 0.35161475
362 2 2 6 9 0.13787860 0.00000000 0.15487894
363 2 2 6 10 -0.59227273 0.00000000 0.57574529
364 2 2 6 11 0.32160829 -0.00000000 0.33885413
365 2 2 6 12 -0.03438293 0.00000000 0.02602327
366 2 2 6 13 -0.01975133 0.00000000 0.01968887
