INDEX BOND_ID_2 BOND_ID_1 K_2 K_1 MEAN_R MEAN_I STD
216 1 1 13 7 0.59134346 0.11004202 0.51983390
217 1 1 13 8 1.09717241 -0.09472685 0.79395615
218 1 1 13 9 0.36261015 -0.56157203 1.21094027
219 1 1 13 10 1.75583483 -1.10343695 2.03567216
220 1 1 13 11 2.26414628 0.47630618 0.79325275
221 1 1 13 12 0.26982490 -0.24662756 0.28129217
222 1 1 13 13 -0.39146655 0.10552716 1.53351329
223 1 1 13 14 0.53200764 -1.80021765 1.61182447
224 1 1 13 15 0.93020010 -0.81050058 0.56882584
225 1 1 14 0 -4.09961070 1.78332897 5.82112416
226 1 1 14 1 -0.76331781 -0.31743723 1.00040292
227 1 1 14 2 1.56757263 0.00000000 1.20860078
228 1 1 14 3 -0.70460977 -0.55364898 1.16187501
229 1 1 14 4 -0.13401844 -1.05093589 0.38707202
230 1 1 14 5 -0.51877032 0.66074515 1.32186443
231 1 1 14 6 -1.10122177 3.00802477 3.28146532
232 1 1 14 7 0.40270295 0.07060682 0.67128656
233 1 1 14 8 1.07729690 0.54167660 1.15868279
234 1 1 14 9 0.14576628 1.06281114 1.04201233
235 1 1 14 10 5.54579488 -1.30032019 2.90475382
236 1 1 14 11 0.49484584 0.72034470 1.23349939
237 1 1 14 12 0.09316021 0.58450179 0.51297102
238 1 1 14 13 0.53200764 -1.80021765 1.61182447
239 1 1 14 14 2.29120714 -1.89898881 1.56600490
240 1 1 14 15 -0.98999728 -1.52364180 1.80469941
241 1 1 15 0 -1.65154300 4.02310037 4.69611529
242 1 1 15 1 1.08002509 0.00000000 0.39681469
243 1 1 15 2 -0.76331781 0.31743723 1.00040292
244 1 1 15 3 -0.97987258 -1.37197176 1.27252542
245 1 1 15 4 0.01991642 -0.54690519 0.44689903
246 1 1 15 5 1.06705349 0.64042611 0.96807807
247 1 1 15 6 -0.40255825 2.19697732 1.87899579
248 1 1 15 7 -0.03088578 -1.38011955 0.99070889
249 1 1 15 8 0.88810531 -0.22793621 0.76860661
250 1 1 15 9 1.83615692 -1.18274182 1.06826495
251 1 1 15 10 2.23624228 -1.65797151 2.62277157
252 1 1 15 11 0.38433736 0.42675725 1.37560625
253 1 1 15 12 0.26298019 0.24237883 0.21910213
254 1 1 15 13 0.93020010 -0.81050058 0.56882584
255 1 1 15 14 -0.98999728 -1.52364180 1.80469941
256 1 1 15 15 0.42482162 -0.88681004 0.91397315
257 2 2 0 0 37.12317455 0.00000000 11.68585657
258 2 2 0 1 -4.36028336 0.29887518 7.55814042
259 2 2 0 2 10.13990193 -5.24624683 8.66620831
260 2 2 0 3 -1.07606959 5.56792753 3.74329629
261 2 2 0 4 3.94586200 6.97210214 4.93725158
262 2 2 0 5 -3.98692293 2.11049742 3.68210744
263 2 2 0 6 -3.96202277 -3.67657641 5.18771824
264 2 2 0 7 -2.02708934 4.25308555 3.93929204
265 2 2 0 8 -2.00360727 0.00000000 2.93032954
266 2 2 0 9 -2.02708934 -4.25308555 3.93929204
267 2 2 0 10 -3.96202277 3.67657641 5.18771824
268 2 2 0 11 -3.98692293 -2.11049742 3.68210744
269 2 2 0 12 3.94586200 -6.97210214 4.93725158
