INDEX PHOTON_ID_2 PHOTON_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
58 1 1 3 2 1 -5757492584757877565585947206646528582672289633507301265605755199416603663551584722149499049806645947787043779957981544429009378810766435460272294348387831666300767066552652536761775920101894949501570233999486833854880670361120786431868928.00000000 93977575242695152736789144695225550316868543496036621933143592184008634290521529809040820272832882349755216372996783303783910872026641303443433445111275314996384325267679008379620524916718645330085209861027235178173985456128.00000000 Inf
59 1 1 3 2 2 -5632827992446748345003097360455325997537586090029522644410075882941925816400042424456059997540314345472040785608973422487018785955111889469321681229824363901762883352657772194771231181420085875764034454774907749838006215076112449664974848.00000000 91296528710276852965816557154941740494629974892004944561973389464242002143016390137728779098656924692830234041297453812354420800691324716829736367453109683076966263122287878168045446508325427997108105756325113542326207119360.00000000 Inf
60 1 1 3 2 3 -5757492584757877565585947206646528582672289633507301265605755199416603663551584722149499049806645947787043779957981544429009378810766435460272294348387831666300767066552652536761775920101894949501570233999486833854880670361120786431868928.00000000 93977575242695152736789144695225550316868543496036621933143592184008634290521529809040820272832882349755216372996783303783910872026641303443433445111275314996384325267679008379620524916718645330085209861027235178173985456128.00000000 Inf
61 1 1 3 3 0 -5746175450152793736918458089774531813604203104725487338554480030736531260388548616192671386912287922505639950846593644504969452378346866037909864198597907110501653074716197484093755483054537912453607946503370106996379180065808145012752384.00000000 93014974043115621910646544948819899648726451222089019088827251628076321862214531222106045514010270972298619317175807868113217603894060426860078982136431900952538977630387343796020810008134698131982822506389755237773707575296.00000000 Inf
62 1 1 3 3 1 -5887773462320299177179423835972814114726380488758198833830091124174966604474722050992093778221836247769382976103857343807586010350332769611895927883540762301909212456231737337168194957395346383547360591601228769757649349067039175673380864.00000000 95130477556125704012317616422952452399604330751525219272436752101216788611291960485802683984433068832874026297795922252347673588099029338636023800387776677318712416923543292845373008805623770048384062952736197523217525506048.00000000 Inf
63 1 1 3 3 2 -5860828950131369356663765624431428942636710997104421958401016695266142030136851445857416624614072088241116285325963877160870170193326139701944616291451906345960773436777468263096216758767095331916518587181534087419045128552824960219873280.00000000 94450742826105639257030488765651697193257708486796025584378195751965707046055501252389767912003081666431428081336172014628431421415273386718837360672579619532089363606972165673229273753818347484428146716551009376082692407296.00000000 Inf
64 1 1 3 3 3 -5887773462320299177179423835972814114726380488758198833830091124174966604474722050992093778221836247769382976103857343807586010350332769611895927883540762301909212456231737337168194957395346383547360591601228769757649349067039175673380864.00000000 95130477556125704012317616422952452399604330751525219272436752101216788611291960485802683984433068832874026297795922252347673588099029338636023800387776677318712416923543292845373008805623770048384062952736197523217525506048.00000000 Inf
65 1 1 4 0 0 -6804058811100396903542284461138732150422669084961534759208932700469109761653540784921431033510946864422477701225903944210937808865765651306600314068537206032186852368512408899353157918868598048301784024920644268850814396727779333876219904.00000000 51908153639904835024475841359641044322240760007931173348069906381023343215224350556554896403445710339981846498617801042808631879113534005267629209982246056825945618960312451226064978953696102918613067085383367985099112972288.00000000 Inf
66 1 1 4 0 1 -8190904873044831202474501889556580071017582405992003464362523411214196650204124611471485104623937108621877165132599357110067821401062649923077335427244299872167019437126383018752797558511305574659114721263572941165548628198460690299617280.00000000 72473295679171691637382196426739575856599662079503269718568646189831028376967377653223995624931616947750174325075540431910749321660465146119370721829181241792637239838532046254993890256252599363723302277450573691580613394432.00000000 Inf
67 1 1 4 0 2 -8550387327547570267911691005850908020191940785156783768078592761772535194601609543747714281935844454080963627216950675975962840981167433574228127671077946820343547904557485600041725378397308203873374352575056537952756202563397193106980864.00000000 78781088608328335138193194967299173940097312913726259263315952380551206504685795812004143756367399446445167140728232554705257693557936895386412065246388133081402820260335540083134994049375305213080858179808381379238852296704.00000000 Inf
68 1 1 4 0 3 -8190904873044831202474501889556580071017582405992003464362523411214196650204124611471485104623937108621877165132599357110067821401062649923077335427244299872167019437126383018752797558511305574659114721263572941165548628198460690299617280.00000000 72473295679171691637382196426739575856599662079503269718568646189831028376967377653223995624931616947750174325075540431910749321660465146119370721829181241792637239838532046254993890256252599363723302277450573691580613394432.00000000 Inf
69 1 1 4 1 0 -7696589874637389271155373970076360900352365956308562176655280830634668650404527151684935873990784122036506872667305521153201299526062450312651231886375479279890555545173374633142372297384303850436012646600157812432537001940102866649743360.00000000 63769986900903011617890154785724546776254071038802005052510503516521783856357762538592726419177987359951765736946834730745853653307138623540377614316900984340578005771817905936475347733861876579539722185241592863396676501504.00000000 Inf
70 1 1 4 1 1 -7838187901707944198989153399154144261712048289576334082512660205199697587465973309655914080270612869465988850576656572255341649178675078008932213707885805015518119093970343657186170397447214711392541206991077249700360748747159128061771776.00000000 69300404383205659396802493304437828188994017514410302708757098251911010105498508645772004015855272845031031105935674126687174201044473789907945762173946779119227488452423436167761524407586541420138395004486424873048100306944.00000000 Inf
