INDEX PHOTON_ID_2 PHOTON_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
29 1 1 1 3 0 -1146491496869680754732466916222437021190044058134478962304755618683608095656904080100424680807326229311022099435126116604838325178525703260243721060499518997331823158764393199874695780180618090822421115009980984221984692902788970431119360.00000000 16706073406499608937935675926703941758211806823658016405094075202326314167469979536621472458408308549526185630707030637663875307288322048768605312963507033861905197021954777733658702533821721676330858825023135982881618264064.00000000 Inf
30 1 1 1 3 1 -1144205061783264377452660398603577198496645690202911946269283944601115880429172303742592981827837418374256637904968544210536307235226685725345279088028082883898194860437792204135160221544718050372251684997530420880252924287439655988625408.00000000 18946749143219403452817701660746067203096102074033776204277916185993340226448636501837168097173394622524156195968950264035652937609794489320708770237421100266529816650302081421730492717945979292751425712224749574797112901632.00000000 Inf
31 1 1 1 3 2 -1146491496819994013905817732957075522948241904203621528281399402333799238593395287377720181478934318183429096623781254268847013174219461225812210006919108695721447265771682606908187207115730831410381811828310994896605789964427055798943744.00000000 19670057256173121218421402522787204809252895446454653356886466001950918093790814450562143042483369046110801587559879893084802944624705255022508967923070866293399909128817595149402623505544584285864372290053865938738927894528.00000000 Inf
32 1 1 1 3 3 -1144205061783264377452660398603577198496645690202911946269283944601115880429172303742592981827837418374256637904968544210536307235226685725345279088028082883898194860437792204135160221544718050372251684997530420880252924287439655988625408.00000000 18946749143219403452817701660746067203096102074033776204277916185993340226448636501837168097173394622524156195968950264035652937609794489320708770237421100266529816650302081421730492717945979292751425712224749574797112901632.00000000 Inf
33 1 1 2 0 0 -122218232081743372273143365317091389205355705473619851358668773028107224278095151119385910003171461910032764451019046797962505493164566471655649916108190193525063674482977917748624195284799482332518012565789139159206773535444223268617191424.00000000 1905291385875213298800297936148549535313708085234536957667365472118617304753700747666423856384695844858701752411084900305220034846709976446339755609157778641035190339099285643937692046953824434281093108872004656186059606982656.00000000 Inf
34 1 1 2 0 1 1645536889755945576037565455109757409220379764342039768626735203079902026711125479517881549792339712336351908384065377098818452692443349718425938532720025399618435985397971304385191033534498174703749250980791431471769500751629214331961344.00000000 -23716940377184595491468662913045264682721521855132286356999414491334720522162355913943365190308702559451237693914346888559191065947776519768548525753769877856415747647427979722810203518596464644735977245037094325179314601984.00000000 Inf
35 1 1 2 0 2 2250444249427145032661159913332754413379772740311608118247353183743171718532801260195425787004522043807350674926340869932113191595299705675073616337221740448771511033223611682371557035330005749585862056901201726046346178095191986993627136.00000000 -38095179823098613413468410511653891402290522849406515076540713264742920131339513968175232351739792578218955978609270952599716375435554249770653423713809910632420483205128899413212121490213864479127597229113231315211871322112.00000000 Inf
36 1 1 2 0 3 1645536889755945576037565455109757409220379764342039768626735203079902026711125479517881549792339712336351908384065377098818452692443349718425938532720025399618435985397971304385191033534498174703749250980791431471769500751629214331961344.00000000 -23716940377184595491468662913045264682721521855132286356999414491334720522162355913943365190308702559451237693914346888559191065947776519768548525753769877856415747647427979722810203518596464644735977245037094325179314601984.00000000 Inf
37 1 1 2 1 0 804698726946444512894094822276492001522971262066066544426724146199051960101317419540446941063876322151111099598418921800146931216940979637890750457838345260002038758909287530142930624925046998989648335584819221359440479543496050886049792.00000000 -16859079095232619013483379789192149057424993216239383391415272721454079087881723788451258393901268868885377156681764738899318600668934541618557388141142373894857252481491310334648622358651808097553280349077773796403360825344.00000000 Inf
38 1 1 2 1 1 806989925373433358414312653197763583032496675360421988119809503335297462680708750974569904824222940280848911746321991260083145578902458877348985147513500718723671707668147439874346195459604230861917984341488516785021410723292560171728896.00000000 -8352739870931848712871753841766472478071991717423932192134617182509596188475031924851299093238216801980487564643824311487273533565703525778666243771557486198648686642893843999029498833086087699877120383873501163331736567808.00000000 Inf
39 1 1 2 1 2 804698726972824869848530113531192284825895260973891415913050946551230478234355422195136255178837049031652780901322745956827221273935723728165541494172141848084954256745744425983750928602409007136914576026839037307570443578835741622403072.00000000 -5311041350161920353961507039407385195010295565224385856804400301982034514632227205366157333628112309057211559056086032091481002567968576328089828066326012784554087342098635739825664216020246848415142738870239704177564450816.00000000 Inf
40 1 1 2 1 3 806989925373433358414312653197763583032496675360421988119809503335297462680708750974569904824222940280848911746321991260083145578902458877348985147513500718723671707668147439874346195459604230861917984341488516785021410723292560171728896.00000000 -8352739870931848712871753841766472478071991717423932192134617182509596188475031924851299093238216801980487564643824311487273533565703525778666243771557486198648686642893843999029498833086087699877120383873501163331736567808.00000000 Inf
