INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
149 1 1 9 1 0 0.03571762 0.04049883 0.03843347
150 1 1 9 1 1 0.16576462 0.00360972 0.14764532
151 1 1 9 1 2 0.03900092 -0.00791574 0.02455309
152 1 1 9 1 3 -0.00429404 -0.01359671 0.01918296
153 1 1 9 2 0 0.00885730 0.02829933 0.02779816
154 1 1 9 2 1 0.07977127 0.06360573 0.09242511
155 1 1 9 2 2 -0.00534735 -0.02798935 0.02996427
156 1 1 9 2 3 0.02003537 0.01007723 0.01701691
157 1 1 9 3 0 0.04618772 -0.00079973 0.01928374
158 1 1 9 3 1 0.03721792 -0.00266267 0.02136531
159 1 1 9 3 2 -0.00035808 -0.00278049 0.01524202
160 1 1 9 3 3 0.05081123 0.02442414 0.04098608
161 1 1 10 0 0 0.01267628 -0.00430533 0.00572099
162 1 1 10 0 1 0.03553241 -0.00685506 0.03253305
163 1 1 10 0 2 0.01321114 -0.02277939 0.02250113
164 1 1 10 0 3 0.02614944 0.03323172 0.04647596
165 1 1 10 1 0 0.00246504 0.05663320 0.05703204
166 1 1 10 1 1 0.09778131 0.00742379 0.08574016
167 1 1 10 1 2 0.09923324 0.01045119 0.08999806
168 1 1 10 1 3 -0.00529680 -0.01288936 0.01629955
169 1 1 10 2 0 0.02436910 0.02230024 0.02893183
170 1 1 10 2 1 0.07291040 0.06778210 0.09493064
171 1 1 10 2 2 0.00336992 -0.01185314 0.01209318
172 1 1 10 2 3 0.00522919 0.01227355 0.01590890
173 1 1 10 3 0 0.03860359 0.00606453 0.01916023
174 1 1 10 3 1 0.01883913 0.00466119 0.01208895
175 1 1 10 3 2 -0.00138597 0.00118353 0.00767038
176 1 1 10 3 3 0.02813849 0.00700098 0.02175368
177 1 1 11 0 0 0.00439195 -0.00034748 0.00070808
178 1 1 11 0 1 0.02367297 -0.00229240 0.02053595
179 1 1 11 0 2 -0.03653598 -0.03159721 0.03562315
180 1 1 11 0 3 0.01214061 0.01058677 0.01679447
181 1 1 11 1 0 0.01353520 0.01657310 0.01629018
182 1 1 11 1 1 0.04528802 0.00382028 0.03627644
183 1 1 11 1 2 0.04741436 0.00851797 0.03683897
184 1 1 11 1 3 -0.01146859 -0.03973138 0.04299183
185 1 1 11 2 0 0.01392386 0.00808675 0.01206500
186 1 1 11 2 1 0.05155415 0.01364102 0.04417797
187 1 1 11 2 2 -0.00874294 -0.03237573 0.03399742
188 1 1 11 2 3 -0.00502380 0.03508112 0.04083186
189 1 1 11 3 0 0.01495844 0.00248151 0.00779950
190 1 1 11 3 1 0.03831600 -0.00908673 0.03387318
191 1 1 11 3 2 -0.00528192 0.00643021 0.00985505
192 1 1 11 3 3 0.01228637 0.00256920 0.00835253
193 1 1 12 0 0 0.00644137 -0.00065665 0.00186699
194 1 1 12 0 1 0.00865962 -0.00083521 0.00633011
195 1 1 12 0 2 -0.01356202 -0.01390564 0.01414685
196 1 1 12 0 3 -0.00507321 -0.00564746 0.01326313
197 1 1 12 1 0 0.01185072 0.00678501 0.00697840
198 1 1 12 1 1 0.02432703 0.00472220 0.01693280
199 1 1 12 1 2 0.08681554 -0.02863254 0.07897663
200 1 1 12 1 3 -0.00516084 -0.01418173 0.01583249
201 1 1 12 2 0 0.00376384 0.00356756 0.00339778
202 1 1 12 2 1 0.06063801 0.06279335 0.08498060
203 1 1 12 2 2 0.00002809 -0.01282945 0.01716158
204 1 1 12 2 3 -0.04261849 0.10284546 0.11396973
205 1 1 12 3 0 0.00350257 -0.00485070 0.00881296
206 1 1 12 3 1 0.05924160 0.00379539 0.05525898
207 1 1 12 3 2 -0.00317201 0.00379410 0.00548827
208 1 1 12 3 3 0.00561455 -0.00388736 0.00476395
209 1 1 13 0 0 0.01014837 0.00144210 0.00602066
210 1 1 13 0 1 0.00793373 -0.00367242 0.00787611
211 1 1 13 0 2 -0.01296796 -0.00392262 0.01240774
212 1 1 13 0 3 0.00158480 -0.00392819 0.00446244
213 1 1 13 1 0 0.00236341 0.01347446 0.01462969
