INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
178 1 1 11 1 0.10878030 -0.00000351 0.00129583
179 1 1 11 2 0.25267489 -0.00000964 0.00156801
180 1 1 11 3 0.49954268 -0.00000606 0.00032486
181 1 1 11 4 0.74892807 -0.00000416 0.00159635
182 1 1 11 5 0.89883356 -0.00000000 0.00133397
183 1 1 11 6 0.95984357 -0.00000022 0.00075929
184 1 1 11 7 0.98267249 -0.00000020 0.00038992
185 1 1 11 8 0.99049560 0.00000090 0.00019684
186 1 1 11 9 0.99164696 0.00000153 0.00011728
187 1 1 11 10 0.98654525 0.00000346 0.00012988
188 1 1 11 11 0.96683334 0.00001112 0.00027420
189 1 1 11 12 0.89005408 0.00003548 0.00064654
190 1 1 11 13 0.50000000 0.00000000 0.00000000
191 1 1 11 14 0.11694619 -0.00003044 0.00069769
192 1 1 11 15 0.05112912 -0.00000920 0.00053292
193 1 1 12 0 0.02293355 -0.00000049 0.00039748
194 1 1 12 1 0.04340967 -0.00000041 0.00074686
195 1 1 12 2 0.10256290 -0.00000020 0.00131753
196 1 1 12 3 0.25066140 -0.00000260 0.00159640
197 1 1 12 4 0.49953631 0.00000000 0.00032756
198 1 1 12 5 0.74892807 0.00000416 0.00159635
199 1 1 12 6 0.89740610 0.00000368 0.00132716
200 1 1 12 7 0.95650467 -0.00000024 0.00075716
201 1 1 12 8 0.97696356 0.00000020 0.00040366
202 1 1 12 9 0.97985521 0.00000331 0.00025355
203 1 1 12 10 0.96410648 0.00001025 0.00031298
204 1 1 12 11 0.89004833 0.00003480 0.00064673
205 1 1 12 12 0.50000000 0.00000000 0.00000000
206 1 1 12 13 0.10994592 -0.00003548 0.00064654
207 1 1 12 14 0.03586923 -0.00001105 0.00031217
208 1 1 12 15 0.02008338 -0.00000297 0.00025110
209 1 1 13 0 0.00943452 -0.00000018 0.00019392
210 1 1 13 1 0.01721609 0.00000034 0.00038330
211 1 1 13 2 0.04006551 0.00000011 0.00074867
212 1 1 13 3 0.10113416 -0.00000000 0.00132422
213 1 1 13 4 0.25066140 0.00000260 0.00159640
214 1 1 13 5 0.49954268 0.00000606 0.00032486
215 1 1 13 6 0.74693231 0.00001371 0.00156828
216 1 1 13 7 0.89119746 0.00000960 0.00130484
217 1 1 13 8 0.94426212 0.00000172 0.00077462
218 1 1 13 9 0.94880443 0.00000620 0.00053728
219 1 1 13 10 0.88302777 0.00002889 0.00069863
220 1 1 13 11 0.50000000 0.00000000 0.00000000
221 1 1 13 12 0.10995167 -0.00003480 0.00064673
222 1 1 13 13 0.03316666 -0.00001112 0.00027420
223 1 1 13 14 0.01344408 -0.00000354 0.00012942
224 1 1 13 15 0.00832020 -0.00000130 0.00011596
225 1 1 14 0 0.00383747 -0.00000030 0.00009232
226 1 1 14 1 0.00686208 -0.00000002 0.00018552
227 1 1 14 2 0.01588626 -0.00000000 0.00038161
228 1 1 14 3 0.04006551 -0.00000011 0.00074867
229 1 1 14 4 0.10256290 0.00000020 0.00131753
230 1 1 14 5 0.25267489 0.00000964 0.00156801
231 1 1 14 6 0.49956903 0.00001358 0.00031434
232 1 1 14 7 0.73875880 0.00002351 0.00147018
233 1 1 14 8 0.86300599 0.00001774 0.00127287
234 1 1 14 9 0.84965985 0.00002008 0.00093518
235 1 1 14 10 0.50000000 0.00000000 0.00000000
236 1 1 14 11 0.11697223 -0.00002889 0.00069863
237 1 1 14 12 0.03589352 -0.00001025 0.00031298
238 1 1 14 13 0.01345475 -0.00000346 0.00012988
239 1 1 14 14 0.00593347 -0.00000128 0.00006568
240 1 1 14 15 0.00358375 -0.00000056 0.00005762
241 1 1 15 0 0.00170880 -0.00000006 0.00004739
242 1 1 15 1 0.00292475 -0.00000000 0.00008852
243 1 1 15 2 0.00686208 0.00000002 0.00018552
244 1 1 15 3 0.01721609 -0.00000034 0.00038330
245 1 1 15 4 0.04340967 0.00000041 0.00074686
246 1 1 15 5 0.10878030 0.00000351 0.00129583
247 1 1 15 6 0.26089595 0.00001962 0.00146958
248 1 1 15 7 0.49965755 0.00002139 0.00027582
249 1 1 15 8 0.66929046 0.00002770 0.00102866
250 1 1 15 9 0.50000000 0.00000000 0.00000000
251 1 1 15 10 0.15034015 -0.00002008 0.00093518
252 1 1 15 11 0.05119557 -0.00000620 0.00053728
253 1 1 15 12 0.02014479 -0.00000331 0.00025355
254 1 1 15 13 0.00835304 -0.00000153 0.00011728
255 1 1 15 14 0.00359760 -0.00000058 0.00005848
256 1 1 15 15 0.00187268 -0.00000017 0.00003930
