INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU R_2 R_1 MEAN_R MEAN_I STD
122 1 1 0 7 9 0.50000000 -0.00000080 0.00000123
123 1 1 0 7 10 0.50000000 -0.00000236 0.00000192
124 1 1 0 7 11 0.50000000 -0.00000398 0.00000319
125 1 1 0 7 12 0.50000000 -0.00000608 0.00000480
126 1 1 0 7 13 0.50000000 -0.00000809 0.00000711
127 1 1 0 7 14 0.50000000 -0.00000924 0.00001199
128 1 1 0 7 15 0.50000000 0.00000313 0.00003198
129 1 1 0 8 0 0.50000000 -0.00000378 0.00003510
130 1 1 0 8 1 0.50000000 0.00000989 0.00001263
131 1 1 0 8 2 0.50000000 0.00000845 0.00000742
132 1 1 0 8 3 0.50000000 0.00000620 0.00000503
133 1 1 0 8 4 0.50000000 0.00000420 0.00000345
134 1 1 0 8 5 0.50000000 0.00000277 0.00000209
135 1 1 0 8 6 0.50000000 0.00000092 0.00000116
136 1 1 0 8 7 0.50000000 0.00000143 0.00000156
137 1 1 0 8 8 0.50000000 0.00000000 0.00000000
138 1 1 0 8 9 0.50000000 -0.00000110 0.00000099
139 1 1 0 8 10 0.50000000 -0.00000268 0.00000170
140 1 1 0 8 11 0.50000000 -0.00000352 0.00000279
141 1 1 0 8 12 0.50000000 -0.00000527 0.00000446
142 1 1 0 8 13 0.50000000 -0.00000786 0.00000713
143 1 1 0 8 14 0.50000000 -0.00000939 0.00001279
144 1 1 0 8 15 0.50000000 0.00000509 0.00003596
145 1 1 0 9 0 0.50000000 -0.00000350 0.00003958
146 1 1 0 9 1 0.50000000 0.00001158 0.00001445
147 1 1 0 9 2 0.50000000 0.00001000 0.00000867
148 1 1 0 9 3 0.50000000 0.00000733 0.00000600
149 1 1 0 9 4 0.50000000 0.00000490 0.00000388
150 1 1 0 9 5 0.50000000 0.00000303 0.00000233
151 1 1 0 9 6 0.50000000 0.00000394 0.00000406
152 1 1 0 9 7 0.50000000 0.00000080 0.00000123
153 1 1 0 9 8 0.50000000 0.00000110 0.00000099
154 1 1 0 9 9 0.50000000 -0.00000000 0.00000000
155 1 1 0 9 10 0.50000000 -0.00000123 0.00000132
156 1 1 0 9 11 0.50000000 -0.00000295 0.00000238
157 1 1 0 9 12 0.50000000 -0.00000504 0.00000417
158 1 1 0 9 13 0.50000000 -0.00000768 0.00000707
159 1 1 0 9 14 0.50000000 -0.00000925 0.00001358
160 1 1 0 9 15 0.50000000 0.00000709 0.00003989
161 1 1 0 10 0 0.50000000 -0.00000335 0.00004401
162 1 1 0 10 1 0.50000000 0.00001332 0.00001619
163 1 1 0 10 2 0.50000000 0.00001130 0.00000976
164 1 1 0 10 3 0.50000000 0.00000797 0.00000637
165 1 1 0 10 4 0.50000000 0.00000555 0.00000391
166 1 1 0 10 5 0.50000000 0.00000654 0.00000723
167 1 1 0 10 6 0.50000000 0.00000284 0.00000230
168 1 1 0 10 7 0.50000000 0.00000236 0.00000192
169 1 1 0 10 8 0.50000000 0.00000268 0.00000170
