INDEX ORBITAL_ID_2 ORBITAL_ID_1 K_2 K_1 MEAN_R MEAN_I STD
238 1 1 14 13 0.75243989 -0.00011619 0.00419663
239 1 1 14 14 0.53828683 -0.00008376 0.00298170
240 1 1 14 15 0.45423014 -0.00005907 0.00253279
241 1 1 15 0 0.37138239 -0.00001652 0.00204632
242 1 1 15 1 0.41217802 -0.00000000 0.00253318
243 1 1 15 2 0.51769628 0.00002175 0.00341006
244 1 1 15 3 0.71964004 0.00005610 0.00442640
245 1 1 15 4 1.07791531 0.00011161 0.00487200
246 1 1 15 5 1.68016834 0.00006607 0.00374414
247 1 1 15 6 2.54626103 0.00012301 0.00940443
248 1 1 15 7 3.43886735 0.00020927 0.01704078
249 1 1 15 8 4.26762729 0.00035044 0.01406033
250 1 1 15 9 5.01312985 0.00004383 0.01366071
251 1 1 15 10 3.25604777 -0.00031990 0.00408372
252 1 1 15 11 1.67873474 -0.00021939 0.00727714
253 1 1 15 12 0.95705704 -0.00012414 0.00560625
254 1 1 15 13 0.61680133 -0.00007922 0.00371244
255 1 1 15 14 0.45411951 -0.00005234 0.00253185
256 1 1 15 15 0.38302866 -0.00003193 0.00201113
