INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
146 1 1 0 9 1 -0.00015361 -0.00003771 0.00024670
147 1 1 0 9 2 -0.00006791 -0.00000859 0.00011040
148 1 1 0 9 3 -0.00004398 0.00000353 0.00007389
149 1 1 0 9 4 -0.00003886 0.00000781 0.00006631
150 1 1 0 9 5 -0.00004167 0.00000936 0.00007069
151 1 1 0 9 6 -0.00005026 0.00000646 0.00008323
152 1 1 0 9 7 -0.00006214 0.00000000 0.00010307
153 1 1 0 9 8 -0.00008037 -0.00001490 0.00015149
154 1 1 0 9 9 0.00000000 0.00000000 0.00000000
155 1 1 0 9 10 0.00006422 0.00004158 0.00014761
156 1 1 0 9 11 0.00004717 0.00003840 0.00010140
157 1 1 0 9 12 0.00003781 0.00003009 0.00008213
158 1 1 0 9 13 0.00004034 0.00002396 0.00008019
159 1 1 0 9 14 0.00006600 0.00001790 0.00011156
160 1 1 0 9 15 0.00015615 0.00002333 0.00024642
161 1 1 0 10 0 -0.00019793 0.00047513 0.00085845
162 1 1 0 10 1 -0.00014550 -0.00006839 0.00024792
163 1 1 0 10 2 -0.00006605 -0.00002188 0.00010935
164 1 1 0 10 3 -0.00004225 -0.00000577 0.00007088
165 1 1 0 10 4 -0.00003703 0.00000021 0.00005990
166 1 1 0 10 5 -0.00003594 -0.00000011 0.00006065
167 1 1 0 10 6 -0.00004201 0.00000000 0.00006382
168 1 1 0 10 7 -0.00005026 -0.00000646 0.00008323
169 1 1 0 10 8 -0.00005853 -0.00002126 0.00010502
170 1 1 0 10 9 -0.00006422 -0.00004158 0.00014761
171 1 1 0 10 10 0.00000000 0.00000000 0.00000000
172 1 1 0 10 11 0.00004084 0.00005468 0.00013911
173 1 1 0 10 12 0.00003245 0.00004664 0.00009565
174 1 1 0 10 13 0.00003508 0.00003365 0.00008499
175 1 1 0 10 14 0.00006143 0.00003166 0.00011193
176 1 1 0 10 15 0.00015131 0.00005350 0.00024728
177 1 1 0 11 0 -0.00029181 0.00043309 0.00087099
178 1 1 0 11 1 -0.00013157 -0.00009848 0.00024805
179 1 1 0 11 2 -0.00005985 -0.00003447 0.00010644
180 1 1 0 11 3 -0.00003976 -0.00001323 0.00006561
181 1 1 0 11 4 -0.00003116 -0.00000667 0.00005260
182 1 1 0 11 5 -0.00002841 0.00000000 0.00004550
183 1 1 0 11 6 -0.00003594 0.00000011 0.00006065
184 1 1 0 11 7 -0.00004167 -0.00000936 0.00007069
185 1 1 0 11 8 -0.00004606 -0.00002172 0.00008338
186 1 1 0 11 9 -0.00004717 -0.00003840 0.00010140
187 1 1 0 11 10 -0.00004084 -0.00005468 0.00013911
188 1 1 0 11 11 -0.00000000 0.00000000 0.00000000
189 1 1 0 11 12 0.00001887 0.00005347 0.00012483
190 1 1 0 11 13 0.00002483 0.00004518 0.00009192
191 1 1 0 11 14 0.00005374 0.00004282 0.00011109
192 1 1 0 11 15 0.00014098 0.00008326 0.00024679
193 1 1 0 12 0 -0.00036953 0.00036461 0.00088164
194 1 1 0 12 1 -0.00010772 -0.00012350 0.00024346
195 1 1 0 12 2 -0.00005024 -0.00004446 0.00009830
196 1 1 0 12 3 -0.00003035 -0.00001664 0.00005559
197 1 1 0 12 4 -0.00002280 0.00000000 0.00003597
198 1 1 0 12 5 -0.00003116 0.00000667 0.00005260
199 1 1 0 12 6 -0.00003703 -0.00000021 0.00005990
200 1 1 0 12 7 -0.00003886 -0.00000781 0.00006631
201 1 1 0 12 8 -0.00003908 -0.00001797 0.00007295
202 1 1 0 12 9 -0.00003781 -0.00003009 0.00008213
203 1 1 0 12 10 -0.00003245 -0.00004664 0.00009565
204 1 1 0 12 11 -0.00001887 -0.00005347 0.00012483
205 1 1 0 12 12 -0.00000000 -0.00000000 0.00000000
206 1 1 0 12 13 0.00000924 0.00004307 0.00010457
207 1 1 0 12 14 0.00004111 0.00005075 0.00010701
208 1 1 0 12 15 0.00012125 0.00010833 0.00024095
209 1 1 0 13 0 -0.00040507 0.00026126 0.00088617
210 1 1 0 13 1 -0.00006898 -0.00013457 0.00022877
211 1 1 0 13 2 -0.00003090 -0.00003917 0.00007757
212 1 1 0 13 3 -0.00002190 0.00000000 0.00003058
213 1 1 0 13 4 -0.00003035 0.00001664 0.00005559
214 1 1 0 13 5 -0.00003976 0.00001323 0.00006561
215 1 1 0 13 6 -0.00004225 0.00000577 0.00007088
216 1 1 0 13 7 -0.00004398 -0.00000353 0.00007389
217 1 1 0 13 8 -0.00004329 -0.00001396 0.00007680
218 1 1 0 13 9 -0.00004034 -0.00002396 0.00008019
219 1 1 0 13 10 -0.00003508 -0.00003365 0.00008499
220 1 1 0 13 11 -0.00002483 -0.00004518 0.00009192
221 1 1 0 13 12 -0.00000924 -0.00004307 0.00010457
222 1 1 0 13 13 -0.00000000 -0.00000000 0.00000000
223 1 1 0 13 14 0.00002075 0.00004191 0.00008883
224 1 1 0 13 15 0.00009250 0.00011733 0.00022255
225 1 1 0 14 0 -0.00032279 0.00011911 0.00088596
226 1 1 0 14 1 -0.00001742 -0.00009838 0.00018671
227 1 1 0 14 2 -0.00001490 -0.00000000 0.00002665
228 1 1 0 14 3 -0.00003090 0.00003917 0.00007757
229 1 1 0 14 4 -0.00005024 0.00004446 0.00009830
230 1 1 0 14 5 -0.00005985 0.00003447 0.00010644
231 1 1 0 14 6 -0.00006605 0.00002188 0.00010935
232 1 1 0 14 7 -0.00006791 0.00000859 0.00011040
233 1 1 0 14 8 -0.00006781 -0.00000382 0.00011095
234 1 1 0 14 9 -0.00006600 -0.00001790 0.00011156
235 1 1 0 14 10 -0.00006143 -0.00003166 0.00011193
